x,y
0.673691822,0.453860671
0.880581916,0.775424511
0.952544611,0.907341235
0.037899637,0.001436382
0.513116522,0.263288565
0.239637912,0.057426329
0.692557898,0.479636443
0.694939966,0.482941556
0.030680545,0.000941296
0.015155719,0.000229696
0.285459624,0.081487197
0.785075038,0.616342816
0.104366272,0.010892319
0.938833898,0.881409087
0.854344437,0.729904416
0.395704761,0.156582258
0.487409316,0.237567841
0.479317147,0.229744927
0.379220742,0.143808371
0.481137427,0.231493223
0.34191662,0.116906975
0.232136374,0.053887296
0.375598113,0.141073942
0.503554654,0.253567289
0.509130177,0.259213537
0.469952171,0.220855043
0.93498532,0.874197548
0.083735234,0.007011589
0.164068627,0.026918514
0.351221051,0.123356227
0.870192109,0.757234306
0.716080837,0.512771765
0.679207888,0.461323355
0.044424009,0.001973493
0.251260058,0.063131617
0.552422373,0.305170478
0.220623486,0.048674722
0.076034005,0.00578117
0.566840857,0.321308557
0.892525517,0.796601799
0.174729857,0.030530523
0.854118137,0.729517792
0.371114644,0.137726079
0.859299032,0.738394826
0.22131617,0.048980847
0.572573806,0.327840764
0.915595961,0.838315963
0.524735077,0.275346901
0.739871759,0.547410219
0.619863021,0.384230165
0.296713995,0.088039195
0.815429423,0.664925143
0.558285049,0.311682195
0.304743893,0.09286884
0.746422149,0.557146024
0.094299524,0.0088924
0.646836842,0.4183979
0.763126458,0.582361991
0.068418825,0.004681136
0.243935628,0.05950459
0.867140064,0.75193189
0.514988829,0.265213494
0.626244512,0.392182189
0.617203196,0.380939785
0.995476127,0.990972719
0.561986792,0.315829155
0.865002687,0.748229648
0.250318015,0.062659109
0.224389407,0.050350606
0.694451578,0.482262994
0.165029017,0.027234576
0.919202368,0.844932993
0.991160103,0.982398349
0.263892672,0.069639342
0.147737924,0.021826494
0.4588471,0.210540661
0.67310089,0.453064809
0.266148535,0.070835043
0.698489631,0.487887765
0.208561413,0.043497863
0.40757081,0.166113965
0.599584603,0.359501696
0.139097023,0.019347982
0.994623188,0.989275286
0.496326922,0.246340414
0.936741133,0.87748395
0.644649765,0.41557332
0.905741316,0.820367331
0.029535919,0.000872371
0.667667584,0.445780002
0.764859926,0.585010707
0.917489453,0.841786896
0.483037899,0.233325612
0.074346937,0.005527467
0.830058229,0.688996664
0.8345567,0.696484886
0.693484573,0.480920853
0.523146026,0.273681765
0.292412624,0.085505143
0.111450662,0.01242125
0.196206808,0.038497112
0.598277021,0.357935394
0.995464048,0.99094867
0.610325955,0.372497772
0.047819971,0.00228675
0.351549728,0.123587211
0.03558407,0.001266226
0.646025076,0.417348399
0.695352044,0.483514466
0.198508342,0.039405562
0.071916311,0.005171956
0.339978709,0.115585523
0.968246501,0.937501286
0.639300544,0.408705186
0.381934477,0.145873945
0.914595841,0.836485552
0.971697487,0.944196006
0.112075548,0.012560929
0.764825899,0.584958656
0.676789918,0.458044593
0.640284005,0.409963608
0.115175709,0.013265444
0.844317046,0.712871275
0.548639894,0.301005733
0.434265192,0.188586257
0.66290167,0.439438624
0.70942368,0.503281957
0.592855461,0.351477597
0.056245625,0.00316357
0.52740837,0.278159589
0.21885134,0.047895909
0.215792328,0.046566329
0.034177057,0.001168071
0.37074196,0.137449601
0.423516421,0.179366159
0.494394089,0.244425515
0.018540905,0.000343765
0.683140514,0.466680962
0.814356999,0.663177321
0.492272936,0.242332644
0.587843633,0.345560136
0.70075029,0.491050969
0.502611539,0.252618359
0.921581806,0.849313025
0.42106186,0.17729309
0.71019812,0.50438137
0.269635447,0.072703275
0.283158507,0.08017874
0.072921346,0.005317523
0.972507014,0.945769892
0.626354912,0.392320476
0.957011463,0.91587094
0.562308429,0.31619077
0.704677352,0.49657017
0.189167526,0.035784353
0.31141592,0.096979875
0.881270281,0.776637307
0.892206785,0.796032947
0.54397372,0.295907408
0.792389164,0.627880587
0.896072857,0.802946566
0.733676756,0.538281582
0.401325978,0.161062541
0.238962149,0.057102909
0.826621209,0.683302623
0.457195086,0.209027347
0.209792435,0.044012866
0.849972722,0.722453629
0.751905093,0.565361269
0.098691982,0.009740107
0.397142656,0.15772229
0.749777322,0.562166032
0.234191756,0.054845779
0.40229121,0.161838218
0.4365702,0.190593539
0.082966191,0.006883389
0.538125157,0.289578685
0.130605644,0.017057834
0.605861167,0.367067754
0.110829178,0.012283107
0.265968159,0.070739062
0.087860709,0.007719504
0.428023557,0.183204166
0.31753616,0.100829213
